px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor_type
7.76596	-6.44811	-2.67213	-2.68138	-0.36806	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	1.02582	R
7.89001	-6.38069	-2.66238	-2.69804	-0.365074	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0.103393	L
8.00814	-6.3116	-2.61582	-2.70225	-0.341167	8.03231	-6.28406	8	-6.25	2.72931	1.81954	0.613852	R
8.14441	-6.22617	-2.64938	-2.70778	-0.328212	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0.377611	L
8.21833	-6.14655	-2.50097	-2.67519	-0.25566	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	5.86101	R
8.33936	-6.05625	-2.5483	-2.66973	-0.237758	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.70093	L
8.49426	-5.99667	-2.65064	-2.70624	-0.275442	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.2559	R
8.63707	-5.91647	-2.68567	-2.71186	-0.265791	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.204695	L
8.72284	-5.83133	-2.51478	-2.67541	-0.189903	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	6.6489	R
8.85506	-5.73756	-2.55802	-2.66837	-0.172805	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.534839	L
8.94017	-5.66149	-2.45254	-2.64177	-0.120506	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	3.33774	R
9.05643	-5.56594	-2.50068	-2.62735	-0.100722	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.74156	L
9.20245	-5.49999	-2.61317	-2.65778	-0.142649	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.76809	R
9.33776	-5.4057	-2.65252	-2.65052	-0.127991	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.381495	L
9.41737	-5.31316	-2.4869	-2.60611	-0.0535491	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.19247	R
9.54416	-5.2136	-2.53051	-2.59308	-0.0380604	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.411902	L
9.63608	-5.12846	-2.42913	-2.5633	0.00980756	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	2.98339	R
9.75605	-5.02227	-2.47587	-2.54486	0.0269469	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.502678	L
9.84317	-4.92871	-2.38808	-2.50945	0.0758234	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	2.64468	R
9.95569	-4.82186	-2.42929	-2.48988	0.0904314	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.373022	L
10.0307	-4.71675	-2.34298	-2.44326	0.147538	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	3.19545	R
10.1403	-4.58391	-2.41659	-2.40941	0.171787	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	1.07734	L
